stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_direction
CCT_104,,S Marietta Pkwy & Parkway Plaza (Food Depot),,33.94304,-84.53289,,,0,,0,
CCT_105,,Fairground St & S Marietta Pkwy (Cobb Co DFACS),,33.94413,-84.53507,,,0,,0,
CCT_106,,Fairground St & Frasier St,,33.9462,-84.5355,,,0,,0,
CCT_107,,Fairground St & Pierce St (Jett Auto Care),,33.94902,-84.53589,,,0,,0,
CCT_108,,Roswell St & Rogers St (Confederate Cemetery),,33.95052,-84.53814,,,0,,0,
CCT_109,,Roswell St & Lakewood Dr (Confederate Cemetery),,33.95031,-84.54148,,,0,,0,
CCT_11,,Cobb Pkwy & Lake Park Dr (Steve Rayman Chevrolet),,33.89811,-84.48274,,,0,,0,
CCT_110,,Waverly Way & Atlanta St (Sherwin Williams),,33.95014,-84.54929,,,0,,0,
CCT_111,,Atlanta St & Waterman St (Ledfords Automotive),,33.94802,-84.54886,,,0,,0,
CCT_112,,Powder Springs St & Griggs (Conf Cemetery),,33.94486,-84.55115,,,0,,0,
CCT_113,,Powder Springs St & W Gramling St (Wynhaven),,33.94099,-84.55227,,,0,,0,
CCT_114,,Powder Springs St & Sandtown Rd (Big Lots),,33.93628,-84.55587,,,0,,0,
CCT_115,,Powder Springs St & Chestnut Hill Rd (Dollar Tree),,33.93379,-84.55988,,,0,,0,
CCT_116,,Powder Springs St & Booth Rd (Lake),,33.93151,-84.56366,,,0,,0,
CCT_117,,Powder Springs St & Laurel Springs Ln (Firestone),,33.92701,-84.57097,,,0,,0,
CCT_118,,Powder Springs Rd & Baltimore Pl (Goodyear),,33.92352,-84.57618,,,0,,0,
CCT_119,,Powder Springs Rd & Cunningham Rd (Aldi),,33.9221,-84.57826,,,0,,0,
CCT_12,,Cobb Pkwy & Ed Voyles Honda (Marietta Buick),,33.90078,-84.48521,,,0,,0,
CCT_120,,Powder Springs Rd & Chapel Dr (Napa Auto Care),,33.92148,-84.57905,,,0,,0,
CCT_121,,County Services Pkwy & Cobb Co Public Safety (DMV),,33.91455,-84.58223,,,0,,0,
CCT_122,,County Services Pkwy & Cobb Co Health Dept,,33.91235,-84.58223,,,0,,0,
CCT_123,,County Services Pkwy & Cobb Co Park & Recreation,,33.90967,-84.58243,,,0,,0,
CCT_124,,County Services Pkwy & Al Bishop Dr (Fleet Maint),,33.90389,-84.58209,,,0,,0,
CCT_125,,County Services Pkwy & Austell Rd (Texaco Station),,33.89865,-84.57337,,,0,,0,
CCT_126,,Austell Rd & Arkose Dr (Mexican Restaurant),,33.89703,-84.57509,,,0,,0,
CCT_127,,Windy Hill Rd & Cherrywood Ln,,33.89494,-84.57201,,,0,,0,
CCT_128,,Windy Hill Rd & Favor Rd (Osborne High School),,33.89484,-84.56664,,,0,,0,
CCT_129,,Windy Hill Rd & LaRose Dr,,33.89469,-84.55624,,,0,,0,
CCT_13,,Cobb Pkwy & Windy Hill Rd (Folks Restaurant),,33.90362,-84.48781,,,0,,0,
CCT_130,,Windy Hill Rd & Benson Poole Rd (Citgo Station),,33.89448,-84.54448,,,0,,0,
CCT_131,,Windy Hill Rd & Old Concord Rd (Hickory Lakes Apt),,33.89441,-84.5405,,,0,,0,
CCT_132,,Windy Hill Rd & Beaver Creek Rd (Self Storage),,33.89431,-84.53076,,,0,,0,
CCT_133,,Windy Hill Rd & After Belmont Cir (Belmont Hills),,33.8942,-84.52295,,,0,,0,
CCT_134,,Windy Hill Rd & Roswell St (Legacy Golf),,33.89561,-84.49977,,,0,,0,
CCT_135,,Windy Hill Rd & Cobb Pkwy (Checks Cashed),,33.90247,-84.48767,,,0,,0,
CCT_136,,Windy Hill Rd & Cobb Pkwy (Car Spa),,33.90331,-84.48561,,,0,,0,
CCT_137,,Windy Hill Rd & N Park Pl (Ed Voyles Honda),,33.90328,-84.48204,,,0,,0,
CCT_138,,Windy Hill Rd & S Park Pl (Windy Hill Hospital),,33.90121,-84.47958,,,0,,0,
CCT_139,,Windy Hill Rd & Corporate Plaza Pkwy (Panda Exp),,33.901,-84.47804,,,0,,0,
CCT_14,,Cobb Pkwy & Terrel Mill Rd (Chicago Plaza),,33.90623,-84.49029,,,0,,0,
CCT_140,,Windy Hill Rd & Circle 75 Pkwy (Arbys),,33.90081,-84.47561,,,0,,0,
CCT_141,,Windy Hill Rd & Interstate N Pkwy (Corp Spectrum),,33.90425,-84.46813,,,0,,0,
CCT_142,,Windy Hill Rd & Powers Ferry Rd,,33.90492,-84.46606,,,0,,0,
CCT_143,,Windy Hill Rd & Windy Ridge Pkwy (Flats),,33.906,-84.46237,,,0,,0,
CCT_144,,Spring Rd & Woodruff Dr (Galleria Courtyards),,33.88341,-84.48176,,,0,,0,
CCT_145,,Spring Rd & Carolyn Dr (International Farmers Mkt),,33.88347,-84.48687,,,0,,0,
CCT_146,,Spring Rd & Cumberland Valley Dr (Townhomes),,33.8838,-84.49966,,,0,,0,
CCT_147,,Spring Rd & Jonquil Dr (Dairy Queen),,33.88225,-84.50505,,,0,,0,
CCT_148,,Concord Rd & Atlanta Rd (State Farm Insurance),,33.88033,-84.51387,,,0,,0,
CCT_149,,Concord Rd & Evelyn St (First Class Hair Design),,33.87619,-84.52515,,,0,,0,
CCT_15,,Cobb Pkwy & Airport Ind Park Dr (Walmart),,33.90779,-84.49169,,,0,,0,
CCT_150,,S Cobb Dr & Mill Pond Rd (Wade Ford),,33.86091,-84.51873,,,0,,0,
CCT_151,,S Cobb Dr & Emory Hospital,,33.85683,-84.51441,,,0,,0,
CCT_152,,S Cobb Dr & King Springs Rd (Wade Ford),,33.86091,-84.51838,,,0,,0,
CCT_153,,S Cobb Dr & Lake Dr (Suntrust Bank),,33.87106,-84.52804,,,0,,0,
CCT_154,,S Cobb Dr & Concord Rd (Ruby Tuesday),,33.87611,-84.53138,,,0,,0,
CCT_155,,S Cobb Dr & Ask-Kay Dr (S Cobb Medical Bldg),,33.88009,-84.53294,,,0,,0,
CCT_156,,S Cobb Dr & Plaza Dr (Blockbuster Video),,33.88298,-84.534,,,0,,0,
CCT_157,,S Cobb Dr & Powder Springs St (Shell),,33.88731,-84.53564,,,0,,0,
